"nazwa","cena","link","komentarz"
"pistacje",,,
"prażone migdały",,,
"prażone orzechy laskowe",,,
"nerkowce",,,
"orzechy laskowe łuskane",,,
"orzechy brazylijskie",,,
"śliwki w czekoladzie",,,
"orzeszki pinii",,,
"kamienie szlachetne/półszlachetne małe","5",,"opisane swoimi nazwami"
"opal","200+",,"maleńkie zaczynają się od około 200 pln, ale cena jest za gram i dochodzi do niebotycznych wartości. Do dostania na giełdach minerałów"
"świece zapachowe","50",,"takie duże w słoikach, które pasują do lampki na świece od Yankee Candle"
"maseczki na twarz, kosmetyczne","10",,"dobrej jakości, wybrane przez kogoś kto się zna; cerę mam naczynkową ;)"
"ilustracje botaniczne, zoologiczne lub entomologiczne",,"http://sklep.lasiniebo.pl/pl/p/komplet-12-dekoracyjnych-kart-Kwiaty-polne-15cmx17cm/279","kartki, plakaty, kupne, ręczne, akwarele, ryciny, stare, nowe... cokolwiek :) link tylko jako przykład"
"coś z listy życzeń na Steamie","20","https://store.steampowered.com/wishlist/profiles/76561198059138153#sort=order",
"Klucz do oznaczania roślin, Mowszowicz",,"http://lubimyczytac.pl/autor/68218/jakub-mowszowicz","Jest kilka książek z serii 'do rozpoznawania', każda dobra ;)"
"Klucz do oznaczania roślin, Szafer",,"http://lubimyczytac.pl/ksiazka/160743/rosliny-polskie-opisy-i-klucze-do-oznaczania-wszystkich-gatunkow-roslin-naczyniowych-rosnacych-w-po",
"'Mały Książę' w różnych językach i ciekawych wydaniach",,,"mam już: po śląsku, po polsku, audiobook"
"książki o teorii i analizie literatury (o tropach, motywach, poradniki pisania itp.)",,,
"wycieczka do zoo",,,
"wycieczka do ogrodu botanicznego",,,
"wycieczka do palmiarni/oranżerii",,,
"wycieczka do akwarium",,,
"wyjazd na Pyrkon",,"sama opłacę co trzeba, ale nigdy nie umiem tego sobie zorganizować...",
"kupon na wizytę u kosmetyczki",,,"dowolne miejsce, dowolny zabieg"
"kupon na wizytę u masażysty",,,"dowolne miejsce, dowolny zabieg"
"kupon na wizytę w SPA",,,"dowolne miejsce, dowolny zabieg"
"kurs śpiewu",,,
"kurs gotowania",,,
"figurka lub płaskorzeźba od Eredhes","300","https://www.etsy.com/shop/Eredhes",
"obrazek 'Spreadsheets' od WitchsGrove","35","https://www.etsy.com/listing/1509336638/office-salt-trilogy-calligraphy-digital",
"obrazek 'Read the Email' od WitchsGrove","35","https://www.etsy.com/listing/1509336638/office-salt-trilogy-calligraphy-digital",
"malowana muszla od RockyRoadsArtStudio","600","https://www.ebay.com/usr/rockyroadartstudio","sprzedawane tylko na aukcjach, tworzonych tylko raz na jakiś"
"ryba od BisonWares","1000","https://bisonwares.com/pages/fish-market","dostępne tylko na zamówienie w określonych terminach"
"kryształowe kostki RPG","200","https://rgfk.pl/k/210/kamienne-i-szklane","link tylko jako przykład"
